cv_cid,course_pretitle,course_title,course_description
DBK4CIYJZTBCYBNGY2FC,CU.MOOC.007 (2017/1),ภาษาอาหรับเบื้องต้น,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชาภาษาอาหรับเบื้องต้น จะเป็นการศึกษาเกี่ยวกับความสำคัญของภาษาอาหรับเบื้องต้นและวิธีการเรียนภาษาอาหรับ รวมไปถึงความรู้ทั่วไปเกี่ยวกับภาษาอาหรับ ได้แก่ ลักษณะทางภายภาพของภาษาอาหรับ ภาษาที่ใช้ตัวอักษรอาหรับเป็นตัวเขียน การสาธิตการเขียนตัวอักษรอาหรับจากผู้เชี่ยวชาญ การออกเสียงและการใช้ Motion Graphic ประกอบคำบรรยาย</p><h3>วัตถุประสงค์</h3><ol><li>เป็นการเรียนรู้ความสำคัญของภาษาอาหรับเบื้องต้น โดยผู้เรียนสามารถเขียนภาษาอาหรับได้</li><li>เป็นการเรียนรู้ความสำคัญของภาษาอาหรับเบื้องต้น โดยผู้เรียนสามารถออกเสียงภาษาอาหรับได้</li></ol>
0XZI7HDLAWRDD50A3S5Q,CU.MOOC.009 (2017/1),ทำอย่างไรให้สินค้า go inter ขายได้ขายดี และดังข้ามโลก,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา ทำอย่างไรให้สินค้า go inter... ขายได้ขายดี และดังข้ามโลก จะเป็นการศึกษาเกี่ยวกับหัวใจของการสื่อสารการตลาดระหว่างประเทศ โดยจะนำเสนอแนวคิดต่างๆ และเทคนิคสั้นๆ ง่ายๆ ที่จะทำให้ธุรกิจการค้าสามารถส่งออกสินค้าไปขายทั่วโลก และจะเป็นการค้าที่ยั่งยืนต่อไป</p><h3>วัตถุประสงค์</h3><ol><li>พื่อเผยแพร่องค์ความรู้เกี่ยวกับการสื่อสารการตลาดระหว่างประเทศให้แก่ผู้ประกอบธุรกิจและนิสิต นักศึกษา ประชาชนทั่วไปที่สนใจ</li><li>เพื่อนำองค์ความรู้เกี่ยวกับการสื่อสารการตลาดระหว่างประเทศมาจัดทำเป็นสื่อการสอนในรูปแบบวิดีโอเพื่อให้เกิดความเข้าใจที่ชัดเจนและง่ายต่อการนำไปใช้</li><li>เพื่อนำองค์ความรู้เกี่ยวกับการสื่อสารการตลาดระหว่างประเทศมารวบรวมอย่างเป็นระบบระเบียบและสามารถให้ผู้สนใจนำไปต่อยอดความคิดในการทำการตลาดหรือการทำงานที่เกี่ยวข้องอื่นๆ ได้ในอนาคต</li></ol>
292JLHBNNB1FCHZ31P25,CU.MOOC.008 (2017/1),การสร้าง Infographics: What &amp; How ?,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา การสร้าง Infographics : What &amp; How? จะเป็นการศึกษาเกี่ยวกับองค์ประกอบทางทัศนศิลป์ การจัดองค์ประกอบของภาพนิ่ง และโปสเตอร์ การจัดองค์ประกอบภาพเคลื่อนไหว การสร้างแผนภูมิ ประกอบด้วย แผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ และแผนภูมิภาพจริง รวมถึงการบันทึกไฟล์แบบต่างๆ โดยใช้โปรแกรม Microsoft Office : PowerPoint</p><h3>วัตถุประสงค์</h3><ol><li>เพื่อให้ผู้เรียนได้ทราบแนวคิด และเทคนิค การสร้าง Infographic ด้วยโปรแกรม PowerPoint</li><li>เพื่อให้ผู้เรียนสามารถฝึกสร้าง Infographic แบบง่ายๆ ได้ด้วยโปรแกรม PowerPoint</li><li>เพื่อให้ผู้เรียนสามารถจัดองค์ประกอบของภาพนิ่ง และภาพเคลื่อนไหวได้อย่างมีประสิทธิภาพ</li></ol>
XLR53L88VNA8M6QBXNZ4,CU.MOOC.010 (2017/1),IT Security,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา IT Security จะเป็นการศึกษาเกี่ยวกับความหมายของคำว่า Security  ข้อแตกต่างระหว่าง Security และ Privacy   ความสำคัญของการตั้งรหัสผ่าน  แล้วรหัสผ่านที่ดีควรเป็นอย่างไร  รวมไปถึงเรื่องของการใช้ Social Network ที่ถูกต้อง  Social Engineering  การใช้ WiFi ฟรีปลอดภัยจริงหรือ  และสุดท้ายมารู้จักกับ Malware Viruses และ Worms</p><h3>วัตถุประสงค์</h3><ol><li>เพื่อเผยแพร่องค์ความรู้เกี่ยวกับ IT Security ให้แก่นิสิต นักศึกษา ประชาชนทั่วไปที่สนใจ</li><li>เพื่อให้ผู้เรียนสามารถนำองค์ความรู้ไปใช้ประโยชน์ในชีวิตประจำวันได้อย่างมีประสิทธิภาพ</li></ol>
Q56DOQ8I5QEOOR28I3F0,2803381 (2017/2),International Advertising and Marketing Communications,"This is an exclusive online course for 2803381 International Advertising and Marketing Communication, Chulalongkorn University"
31I5F0GZO7SJZQ6YW2M5,CU.MOOC.001.02 (2017/2),การตลาดในศตวรรษที่ 21 รุ่นที่ 2,รายวิชาการตลาดในศตวรรษที่ 21 จะเป็นการศึกษาเกี่ยวกับนิยามของการตลาด แนวคิดหลักเกี่ยวกับการตลาดตั้งแต่อดีตจนถึงปัจจุบัน และการตลาดแบบองค์รวม (Holistic Marketing) ซึ่งเป็นสิ่งที่สำคัญสำหรับการตลาดในทศวรรษที่ 21
6UPBLIGCIUERR27OAEQE,CU.MOOC.011 (2017/2),Survival Thai,"Survival Thai online course provides you lessons on conversations, vocabulariesand idioms about self-introduction, pronouns, farewell and thank you expressions, orderingfood, time and date, making an appointment, seasons and weather, colors, asking questions,telling directions, making apologies and requests, asking for permissions, prohibitions, body,health,illnesses and hobbies.<h2>Course Purpose</h2><ol><li>To instruct knowledges about Thai language and culture to Thai and foreignlearners.</li><li>To develop learners’ Thai communication skills for daily life.</li></ol>"
IZQQH5BIZTR18RBD8Z7L,CU.MOOC.012 (2017/2),Thai on campus,"Thai on Campus online course provides you lessons on informal conversations,vocabularies and idioms about greetings, food ordering and CU students&apos; clothing.<h2>Objectives</h2><ol><li>To instruct knowledge about Thai language and culture to Thai and foreign learners.</li><li>To develop learners&apos; Thai communication skills for daily life.</li><li>To encourage learners to have intimate conversations with friends in the university.</li></ol>"
YFKR1I2LVW5MWMFDEQDX,CU.MOOC.002.AMATA (2017/2),การทำความเข้าใจงบการเงิน (AMATA),รายวิชาการทำความเข้าใจงบการเงิน จะเป็นการศึกษาเกี่ยวกับองค์ประกอบของงบการเงิน ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ รายการในงบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ ประโยชน์ของแต่ละงบการเงิน ความสัมพันธ์ของงบกำไรขาดทุนเบ็ดเสร็จ งบแสดงฐานะการเงิน และงบกระแสเงินสด
SWAAXVH11ALLQN7G45UY,CU.MOOC.004.AMATA (2017/2),Critical Thinking for Business (For AMATA),รายวิชา Critical Thinking for Business จะเป็นการศึกษาเรื่องกระบวนการคิด ตั้งแต่เรื่องกรอบความคิดเดิม (Paradigm) วิธีการตั้งคำถามแบบ Socratic Method และการคิดก่อนคิด (Thinking about Thinking) เพื่อคลายกรอบความคิดเดิม รวมถึงจะมีการนำเสนอเครื่องมือเพิ่มเติมในการฝึกคิด และกรณีศึกษาเกี่ยวกับกระบวนการคิดในรูปแบบต่าง ๆ
JXEY3KRXAA1G8UKKN486,CU.MOOC.008.AMATA (2017/2),การสร้าง Infographics: What & How?,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา การสร้าง Infographics : What &amp; How? จะเป็นการศึกษาเกี่ยวกับองค์ประกอบทางทัศนศิลป์ การจัดองค์ประกอบของภาพนิ่ง และโปสเตอร์ การจัดองค์ประกอบภาพเคลื่อนไหว การสร้างแผนภูมิ ประกอบด้วย แผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ และแผนภูมิภาพจริง รวมถึงการบันทึกไฟล์แบบต่างๆ โดยใช้โปรแกรม Microsoft Office : PowerPoint</p><h3>วัตถุประสงค์</h3><ol><li>เพื่อให้ผู้เรียนได้ทราบแนวคิด และเทคนิค การสร้าง Infographic ด้วยโปรแกรม PowerPoint</li><li>เพื่อให้ผู้เรียนสามารถฝึกสร้าง Infographic แบบง่ายๆ ได้ด้วยโปรแกรม PowerPoint</li><li>เพื่อให้ผู้เรียนสามารถจัดองค์ประกอบของภาพนิ่ง และภาพเคลื่อนไหวได้อย่างมีประสิทธิภาพ</li></ol>
CG6QFRWN1SY7CGX4O10L,3202205 (2017/2),Microbiology in Dentistry Lab,
SB213UJWNB1OA9OBATG9,CU.ENG.001 (2017/2),Role of Statistics in Engineering,
GH3SDVVXEM61B0IQ9365,2803306 (2017/2),2803306 (2017/2) การสร้าง Infographics,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา การสร้าง Infographics : What &amp; How? จะเป็นการศึกษาเกี่ยวกับองค์ประกอบทางทัศนศิลป์ การจัดองค์ประกอบของภาพนิ่ง และโปสเตอร์ การจัดองค์ประกอบภาพเคลื่อนไหว การสร้างแผนภูมิ ประกอบด้วย แผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ และแผนภูมิภาพจริง รวมถึงการบันทึกไฟล์แบบต่างๆ โดยใช้โปรแกรม Microsoft Office : PowerPoint</p><h3>วัตถุประสงค์</h3><ol><li>เพื่อให้ผู้เรียนได้ทราบแนวคิด และเทคนิค การสร้าง Infographic ด้วยโปรแกรม PowerPoint</li><li>เพื่อให้ผู้เรียนสามารถฝึกสร้าง Infographic แบบง่ายๆ ได้ด้วยโปรแกรม PowerPoint</li><li>เพื่อให้ผู้เรียนสามารถจัดองค์ประกอบของภาพนิ่ง และภาพเคลื่อนไหวได้อย่างมีประสิทธิภาพ</li></ol>
J515WBLPALEP0TJK77OB,CU.MOOC.002.02 (2017/2),การทำความเข้าใจงบการเงิน รุ่นที่ 2,รายวิชาการทำความเข้าใจงบการเงิน จะเป็นการศึกษาเกี่ยวกับองค์ประกอบของงบการเงิน ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ ประโยชน์ของแต่ละงบการเงิน ความสัมพันธ์ของงบกำไรขาดทุนเบ็ดเสร็จ งบแสดงฐานะการเงิน และงบกระแสเงินสด
LRQ3O125BDTDCHUI6CL3,CU.MOOC.013 (2017/2),หลักการพื้นฐานทางกฎหมายทั่วไป,รายวิชา หลักการพื้นฐานทางกฎหมายทั่วไป จะเป็นการศึกษาเกี่ยวกับความสัมพันธ์ระหว่างสังคมและกฎเกณฑ์ความประพฤติ ความหมายและลักษณะของกฎหมาย ที่มาของกฎหมาย ศักดิ์ของกฎหมาย ขอบเขตการใช้กฎหมาย การตีความและการอุดช่องว่างของกฎหมาย และประเภทของกฎหมาย
7M978UYOQ7J2A0EGDK3D,CU.MOOC.014 (2017/2),Introduction to Data Analytics and Big Data,รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics หรือที่นิยมเรียนกันว่า DATA SCIENCE และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งานได้ แม้กระทั่งขั้นตอนวิธีการทำงานหรือเรียนรู้เกี่ยวกับเครื่องมือที่ใช้ในการทำงาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา ข้อมูล Social Online รวมไปถึงข้อมูลในรูปแบบแผนที่ และสุดท้ายจะแนะนำการทำ workshop ด้วยโปรแกรม rapidminer
42O8SFZVBF7FNR8ZVL3L,FECAMP (2017/2),FEST by FE Camp 11,
WDAYUWQPFCDLTEZMTH5P,CU.MOOC.001.BIH (2017/2),การตลาดในศตวรรษที่ 21 (BIH),รายวิชาการตลาดในศตวรรษที่ 21 จะเป็นการศึกษาเกี่ยวกับนิยามของการตลาด แนวคิดหลักเกี่ยวกับการตลาดตั้งแต่อดีตจนถึงปัจจุบัน และการตลาดแบบองค์รวม (Holistic Marketing) ซึ่งเป็นสิ่งที่สำคัญสำหรับการตลาดในศตวรรษที่ 21
SUU7V9EQ0VA8SX34BEZ6,CU.MOOC.002.BIH (2017/2),การทำความเข้าใจงบการเงิน (BIH),รายวิชาการทำความเข้าใจงบการเงิน จะเป็นการศึกษาเกี่ยวกับองค์ประกอบของงบการเงิน ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ ประโยชน์ของแต่ละงบการเงิน ความสัมพันธ์ของงบกำไรขาดทุนเบ็ดเสร็จ งบแสดงฐานะการเงิน และงบกระแสเงินสด
PQ9L9SJHUPV15IN48NMP,CU.MOOC.004.BIH (2017/2),Critical Thinking for Business (BIH),รายวิชา Critical Thinking for Business จะเป็นการศึกษาเรื่องกระบวนการคิด ตั้งแต่เรื่องกรอบความคิดเดิม (Paradigm) วิธีการตั้งคำถามแบบ Socratic Method และการคิดก่อนคิด (Thinking about Thinking) เพื่อคลายกรอบความคิดเดิม รวมถึงจะมีการนำเสนอเครื่องมือเพิ่มเติมในการฝึกคิด และกรณีศึกษาเกี่ยวกับกระบวนการคิดในรูปแบบต่างๆ
BI9YROMYAXVJ274847NJ,CU.MOOC.009.BIH (2017/2),ทำอย่างไรให้สินค้า go inter ขายได้ขายดี และดังข้ามโลก (BIH),รายวิชา ทำอย่างไรให้สินค้า go inter... ขายได้ขายดี และดังข้ามโลก จะเป็นการศึกษาเกี่ยวกับหัวใจของการสื่อสารการตลาดระหว่างประเทศ โดยจะนำเสนอแนวคิดต่างๆ และเทคนิคสั้นๆ ง่ายๆ ที่จะทำให้ธุรกิจการค้าสามารถส่งออกสินค้าไปขายทั่วโลก และจะเป็นการค้าที่ยั่งยืนต่อไป
SHGDMDOJQKSN8OW91B3O,CU.MOOC.005.BIH (2017/2),English for Careers I: For Hotel Staff (BIH),รายวิชา English for Careers I : For Hotel Staff จะเป็นการศึกษาเกี่ยวกับบทสนทนา คำศัพท์ และสำนวนที่เกี่ยวกับพนักงานโรงแรม
EXUNPATF4LG006CP4AZ9,CU.MOOC.006.BIH (2017/2),English for Careers I​I: For Restaurant Staff (BIH),รายวิชา English for Careers II : For Restaurant staff จะเป็นการศึกษาเกี่ยวกับบทสนทนา คำศัพท์ และสำนวนที่เกี่ยวกับพนักงานร้านอาหาร
GO9R3FH2T2WXZO77V2LB,CU.MOOC.013.BIH (2017/2),หลักการพื้นฐานทางกฎหมายทั่วไป (BIH),รายวิชา หลักการพื้นฐานทางกฎหมายทั่วไป จะเป็นการศึกษาเกี่ยวกับความสัมพันธ์ระหว่างสังคมและกฎเกณฑ์ความประพฤติ ความหมายและลักษณะของกฎหมาย ที่มาของกฎหมาย ศักดิ์ของกฎหมาย ขอบเขตการใช้กฎหมาย การตีความและการอุดช่องว่างของกฎหมาย และประเภทของกฎหมาย
0FVWM6K4PO7GY7UMS0CV,CU.MOOC.014.BIH (2017/2),Introduction to Data Analytics and Big Data (BIH),รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics หรือที่นิยมเรียนกันว่า DATA SCIENCE และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งานได้ แม้กระทั่งขั้นตอนวิธีการทำงานหรือเรียนรู้เกี่ยวกับเครื่องมือที่ใช้ในการทำงาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา ข้อมูล Social Online รวมไปถึงข้อมูลในรูปแบบแผนที่ และสุดท้ายจะแนะนำการทำ workshop ด้วยโปรแกรม rapidminer
UF2D6JSZXY1PLZXMZ7KI,CU.MOOC.008.BIH (2017/2),การสร้าง Infographics: What & How? (BIH),รายวิชาการสร้าง Infographics : What & How? จะเป็นการศึกษาเกี่ยวกับการสร้าง Infographic รูปแบบต่างๆผ่านโปรแกรม Microsoft Office : Powerpoint ได้แก่ การสร้างแผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ Infographic ภาพจริง รวมถึงการจัดองค์ประกอบภาพนิ่ง การเลือกฟอนท์ การคิดคำพาดหัว การทำภาพเคลื่อนไหว และการบันทึกไฟล์
FTNFRG85UOAQ28EDI2XK,CU.MOOC.015 (2017/2),เคล็ดวิชาค้นคว้า กระบวนท่านำเสนอผลงาน,เคล็ดวิชาค้นคว้า กระบวนท่านำเสนอผลงาน จะเป็นการเรียนเกี่ยวกับทักษะการค้นคว้า รู้จักวิธีการค้นคว้าวิจัย การเข้าถึงแห่งสารสนเทศวิชาการได้ สามารถประเมินสารสนเทศ และเรียบเรียงผลงานทางวิชาการโดยสอดคล้องกับจริยธรรมและจรรยาบรรณผู้วิจัย และการอ้างอิงได้อย่างถูกต้อง
DM7ISMNLA9OCD01MNZLU,CU.MOOC.004.02 (2017/2),Critical Thinking for Business รุ่นที่ 2,รายวิชา Critical Thinking for Business จะเป็นการศึกษาเรื่องกระบวนการคิด ตั้งแต่เรื่องกรอบความคิดเดิม (Paradigm) วิธีการตั้งคำถามแบบ Socratic Method และการคิดก่อนคิด (Thinking about Thinking) เพื่อคลายกรอบความคิดเดิม รวมถึงจะมีการนำเสนอเครื่องมือเพิ่มเติมในการฝึกคิด และกรณีศึกษาเกี่ยวกับกระบวนการคิดในรูปแบบต่างๆ
WTRSAXT0272U3FW881JH,CU.MOOC.008.02 (2017/2),การสร้าง Infographics: What & How? รุ่นที่ 2,รายวิชาการสร้าง Infographics : What & How? จะเป็นการศึกษาเกี่ยวกับการสร้าง Infographic รูปแบบต่างๆผ่านโปรแกรม Microsoft Office : Powerpoint ได้แก่ การสร้างแผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ Infographic ภาพจริง รวมถึงการจัดองค์ประกอบภาพนิ่ง การเลือกฟอนท์ การคิดคำพาดหัว การทำภาพเคลื่อนไหว และการบันทึกไฟล์
05D56Q0SK46GK59IAFJZ,CU.MOOC.016 (2017/2),หลักการพื้นฐานทางกฎหมายอาญา​,รายวิชา หลักการพื้นฐานทางกฎหมายอาญา จะมีเนื้อหาให้ความรู้เกี่ยวกับหลักการพื้นฐานเกี่ยวกับกฎหมายอาญา โครงสร้างความรับผิดทางอาญา เหตุลดโทษ การพยายามกระทำความผิด บุคคลที่เกี่ยวข้องกับการกระทำความผิด และความผิดอาญาในบางฐานความผิดที่สำคัญ
FA6JAZ3XZFBY9NFCBFHD,CU.MOOC.009.02 (2017/2),ทำอย่างไรให้สินค้า go inter ขายได้ขายดี และดังข้ามโลก รุ่นที่ 2,รายวิชา ทำอย่างไรให้สินค้า go inter... ขายได้ขายดี และดังข้ามโลก จะเป็นการศึกษาเกี่ยวกับหัวใจของการสื่อสารการตลาดระหว่างประเทศ โดยจะนำเสนอแนวคิดต่างๆ และเทคนิคสั้นๆ ง่ายๆ ที่จะทำให้ธุรกิจการค้าสามารถส่งออกสินค้าไปขายทั่วโลก และจะเป็นการค้าที่ยั่งยืนต่อไป
XMTHLWG07XNN2F6ZR9Z0,CU.MOOC.017 (2017/2),ภาษารัสเซียเบื้องต้น,รายวิชา ภาษารัสเซียเบื้องต้น จะมีเนื้อหาให้ความรู้เกี่ยวกับตัวอักษร ระบบการออกเสียง ไวยากรณ์รัสเซียขั้นพื้นฐาน การฝึกทักษะด้านการฟัง พูดและอ่าน
A7T2ID3H7OCA50HYLE5Y,CU.MOOC.014.SCB (2017/2),Introduction to Data Analytics and Big Data (SCB),รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics หรือที่นิยมเรียนกันว่า DATA SCIENCE และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งานได้ แม้กระทั่งขั้นตอนวิธีการทำงานหรือเรียนรู้เกี่ยวกับเครื่องมือที่ใช้ในการทำงาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา ข้อมูล Social Online รวมไปถึงข้อมูลในรูปแบบแผนที่ และสุดท้ายจะแนะนำการทำ workshop ด้วยโปรแกรม rapidminer
BVMJQ55OFZ5QDHC9S6K0,CU.MOOC.011.02 (2017/2),Survival Thai รุ่นที่ 2,"‘Survival Thai’ online course provides you lessons on conversations, vocabulariesand idioms about self-introduction, pronouns, farewell and thank you expressions, orderingfood, time and date, making an appointment, seasons and weather, colors, asking questions,telling directions, making apologies and requests, asking for permissions, prohibitions, body,health,illnesses and hobbies."
